,val/specificity_AK,val/f1_MEL,val/sensitivity_NV,val/specificity_macro,val/auc_BCC,val/sensitivity_MEL,val/f1_SCC,val/auc_macro,val/f1_BKL,val/auc_SCC,val/auc_BKL,val/f1_macro,val/specificity_BCC,train/loss,val/sensitivity_VASC,epoch,val/acc,val/f1_DF,val/auc_DF,val/auc_VASC,val/sensitivity_BCC,val/sensitivity_SCC,val/f1_AK,val/specificity_MEL,val/f1_VASC,_runtime,val/specificity_NV,val/specificity_BKL,val/auc_AK,val/f1_BCC,_step,val/sensitivity_macro,val/bacc,_timestamp,val/auc_NV,val/sensitivity_BKL,val/f1_NV,val/specificity_DF,val/auc_MEL,val/sensitivity_DF,val/specificity_VASC,val/sensitivity_AK,val/specificity_SCC
0,0.9276665304454434,0.5141414141414142,0.6877669902912621,0.937977401001892,0.9257145590008642,0.5630530973451328,0.24475524475524477,0.8968853094123828,0.3893129770992366,0.9058911023088315,0.8123423706779057,0.42692489541060397,0.9666060881417537,1.5640174795400457,0.9803921568627451,1,0.5942372212354451,0.27631578947368424,0.9193024838945341,0.9947540419676643,0.46616541353383456,0.2777777777777778,0.34796238244514105,0.8638001441268316,0.3194888178913738,425.529150976,0.9000802568218299,0.9297666226332012,0.9136857447245772,0.5525846702317291,0,0.555355670186501,0.555355670186501,1775575683.8290567,0.8970878461562436,0.38857142857142857,0.7708378672470075,0.983462841203427,0.8063043265684422,0.4375,0.9577352472089314,0.6416184971098265,0.9747014774337178
1,0.9754801798120147,0.5418098510882016,0.7304854368932039,0.9449162352972434,0.9411825793470501,0.5232300884955752,0.33078880407124683,0.9199110449676963,0.47049924357034795,0.9273715557868563,0.8655528296743621,0.495718465853696,0.943207632894139,1.228260893832998,0.9607843137254902,2,0.6459443457667259,0.35714285714285715,0.95140964335525,0.9930887825624668,0.6270676691729323,0.5158730158730159,0.3492957746478873,0.9113619985587317,0.49000000000000005,861.817585295,0.9012841091492777,0.892998678996037,0.9277468458487566,0.6261261261261261,1,0.5775878724289178,0.5775878724289178,1775576120.1191313,0.9106412753821939,0.5923809523809523,0.8000850701829009,0.99581589958159,0.8422948477846346,0.3125,0.9800637958532695,0.3583815028901734,0.9591175875328881
2,0.9462607274213323,0.5563194077207827,0.7029126213592233,0.9458097819628623,0.9463060194785009,0.581858407079646,0.36678200692041524,0.9238802295878891,0.48281786941580757,0.9370412133010797,0.8595076639198171,0.5245415351315246,0.9368468877782826,1.1052540249722989,0.9607843137254902,3,0.6489046773238603,0.3518518518518519,0.9636630802948793,0.9939175032054289,0.6796992481203008,0.42063492063492064,0.36704119850187267,0.8892625510449196,0.6363636363636364,1289.742287467,0.9141252006420546,0.9211800968736239,0.9319279712565345,0.6480286738351254,2,0.6054293659912895,0.6054293659912895,1775576548.0441334,0.9125337779924887,0.5352380952380953,0.7871276364427049,0.9918310420402471,0.8461446072543838,0.3958333333333333,0.9892344497607656,0.5664739884393064,0.9777373001416717
3,0.9460563955864324,0.5530068195908245,0.7906796116504854,0.9488481405323557,0.9554365240680074,0.49336283185840707,0.34905660377358494,0.9341533475517758,0.5137614678899083,0.9463783759472891,0.8863286573986706,0.5372873165535088,0.9604725124943208,1.024881924129435,0.9607843137254902,4,0.6818630353266233,0.3317535545023697,0.9730980607026631,0.9977991994245864,0.6466165413533834,0.29365079365079366,0.41379310344827586,0.9368244054768196,0.632258064516129,1709.094710022,0.8743980738362761,0.9194187582562747,0.9392272240870619,0.6776989755713159,3,0.6449858703930185,0.6449858703930185,1775576967.3965917,0.9193930090853839,0.5866666666666667,0.8269699431356621,0.9744969117354054,0.8555657297005433,0.7291666666666666,0.9890350877192983,0.6589595375722543,0.9900829791540174
4,0.9560686554965263,0.5650382577987052,0.738252427184466,0.9498789186990978,0.9549825267393838,0.5309734513274337,0.43037974683544306,0.9330495662373943,0.5180217937971501,0.9514461117375507,0.8750963494160323,0.5586385752070827,0.9427532939572921,0.9583200440985923,0.9411764705882353,5,0.6773238602723505,0.42352941176470593,0.9693705585441987,0.9948126778622134,0.7353383458646616,0.5396825396825397,0.4130879345603272,0.9243334134037954,0.6153846153846154,2117.282724627,0.9081059390048154,0.9209599295464553,0.9388209226350065,0.6955903271692745,4,0.6759762115150624,0.6759762115150624,1775577375.5845897,0.9215113216662252,0.5885714285714285,0.8080765143464399,0.9828651125722255,0.8583560612985446,0.75,0.9886363636363636,0.5838150289017341,0.9753086419753086
5,0.9476910502656314,0.5626092020966802,0.7355339805825243,0.9499682036884,0.9588488486094838,0.5342920353982301,0.39686684073107054,0.9320152756987301,0.505421184320267,0.9437939110070258,0.8698282694848083,0.5869602253289324,0.9504770558836892,0.910181110119594,0.9411764705882353,6,0.6765344385237814,0.5663716814159293,0.968357740585774,0.9973027488507366,0.7263157894736842,0.6031746031746031,0.4052044609665427,0.9207302426134999,0.744186046511628,2528.761637858,0.9117174959871589,0.9183179216204316,0.9431331511276045,0.7071742313323572,5,0.6767950258118761,0.6767950258118761,1775577787.063456,0.9248230453957519,0.5771428571428572,0.8078481552569845,0.9934249850567842,0.8500344905286564,0.6666666666666666,0.9940191387559809,0.630057803468208,0.9633677393240235
6,0.9452390682468329,0.5740956826137689,0.7518446601941747,0.9495194141748352,0.9538535115617303,0.5442477876106194,0.3636363636363636,0.9333804893171742,0.5327188940092166,0.9459816308632338,0.8857247698727223,0.5430600357874704,0.9563834620626988,0.8596369190735019,0.9607843137254902,7,0.6743635287152161,0.37,0.958524274423856,0.996732026143791,0.643609022556391,0.5396825396825397,0.4221824686940966,0.9236127792457363,0.6012269938650306,2953.09578164,0.9024879614767255,0.9403346543372963,0.9484150700043228,0.666147859922179,6,0.6804448465542788,0.6804448465542788,1775578211.397658,0.9230778101575527,0.5504761904761905,0.8144720235591082,0.9770870691372784,0.8547348215101855,0.7708333333333334,0.9874401913875598,0.6820809248554913,0.9635701275045537
7,0.9464650592562321,0.5898967952199892,0.7483495145631068,0.9517170824128147,0.9602214304502736,0.6006637168141593,0.3988095238095238,0.9352087670152662,0.5499505440158259,0.9384675680971977,0.8787704178985553,0.581075961601972,0.9536574284416175,0.8045651230620285,0.9607843137254902,8,0.6911387408723111,0.45614035087719296,0.9647506143322043,0.9987608280951934,0.7233082706766917,0.5317460317460317,0.42676311030741415,0.9053567139082392,0.7000000000000001,3383.190408568,0.9077046548956661,0.9542051959489212,0.9469339594785168,0.7125925925925924,7,0.6986195727380975,0.6986195727380975,1775578641.4922483,0.9283599557418691,0.5295238095238095,0.8144547759932375,0.9832635983263598,0.8654053620283194,0.8125,0.9920255183413078,0.6820809248554913,0.9710584901841732
8,0.9546383326522272,0.5683179096352747,0.7289320388349515,0.951307760555171,0.9623028493541896,0.577433628318584,0.42891566265060244,0.93964577951515,0.5522388059701492,0.9562488153866417,0.8907374557044305,0.6002306592616311,0.9670604270786006,0.7524549872952305,0.9215686274509803,9,0.6846260114466154,0.5499999999999999,0.9686441522215581,0.9978812896769553,0.6902255639097744,0.7063492063492064,0.4325396825396825,0.9012731203459043,0.7401574803149605,3811.377672038,0.9181380417335474,0.9233817701453104,0.9512780779106657,0.723404255319149,8,0.6970440728271774,0.6970440728271774,1775579069.6792443,0.9284757437391886,0.6342857142857142,0.8062714776632303,0.9922295277943813,0.8615978521275715,0.6875,0.9942185007974481,0.630057803468208,0.9595223638939486
9,0.9701675521046179,0.594017094017094,0.7475728155339806,0.9531101126773254,0.9639579411955606,0.6150442477876106,0.4444444444444444,0.9424823865011434,0.5823429541595925,0.9576864139705669,0.9030986978675224,0.5895878900482239,0.9486597001363016,0.7398246768568216,0.9411764705882353,10,0.7033747779751333,0.46153846153846145,0.9675317128245998,0.9976154736216655,0.7699248120300752,0.4126984126984127,0.4362745098039215,0.9010329089598847,0.6530612244897959,4223.208229461,0.9105136436597111,0.931748128577719,0.9498985427478734,0.729864575908767,9,0.6833376198779588,0.6833376198779588,1775579481.5100803,0.9282642709096293,0.6533333333333333,0.8151598560237139,0.9836620840804942,0.8718060388717291,0.8125,0.9904306220095693,0.5144508670520231,0.9886662618903056
