,resnet50/val_auc_class_5,resnet50/val_auc_class_0,resnet50/val_auc_class_3,_step,resnet50/val_bacc,resnet50/val_acc,resnet50/val_macro_f1,_runtime,resnet50/val_loss,resnet50/val_auc_class_4,resnet50/val_auc_class_7,resnet50/val_auc_class_2,resnet50/train_loss,epoch,resnet50/train_acc,resnet50/val_auc_class_6,resnet50/val_auc_class_1,_timestamp,resnet50/conf_matrix
0,0.8597094391372782,0.8741682040767154,0.6981802483894534,0,0.3525310880617099,54.25300967041642,0.3245168667560933,197.338022486,1.835359698571499,0.7185794738307764,0.9241134252744161,0.726346270784844,1.9832850343045376,1.0,37.0756020529017,0.7923866706501802,0.845128495933154,1776980425.5031202,
1,,,,1,,,,197.708243422,,,,,,,,,,1776980425.8755507,"{'sha256': '89314fde149ad938a2e0af76aa76d6e9bc4117aad9e754322859055a995bfb83', 'size': 46609, 'width': 1000, '_type': 'image-file', 'format': 'png', 'height': 800, 'path': 'media/images/resnet50/conf_matrix_1_89314fde149ad938a2e0.png'}"
2,0.8950311676977979,0.9152507139803133,0.863485422062828,2,0.4834235890605071,59.85790408525755,0.40605441172817625,394.355974989,1.4286256822400123,0.789506402802608,0.9550614504174876,0.8022402549747331,1.6538818500207426,2.0,55.53691275167785,0.8705968523819162,0.9140151605729453,1776980622.5230541,
3,,,,3,,,,394.549281971,,,,,,,,,,1776980622.7165918,"{'_type': 'image-file', 'format': 'png', 'height': 800, 'path': 'media/images/resnet50/conf_matrix_3_ac285fd17096364a3708.png', 'sha256': 'ac285fd17096364a37088b37c01712814fb99f581864eed5726601a0c3f4052d', 'size': 47147, 'width': 1000}"
4,0.901645420686001,0.9236330436466972,0.9230631931991764,4,0.5545406912879727,61.29859877639629,0.44552170482081477,592.87191452,1.257931501985346,0.8073971023704398,0.959267598586484,0.8037583611163532,1.3656792516588037,3.0,58.6014607185156,0.9019043764034657,0.9250757516234931,1776980821.0389013,
5,,,,5,,,,593.07028134,,,,,,,,,,1776980821.237625,"{'sha256': 'e4da704c07b6a42a4b2a0184b174d00eec65b3baa7a86451b46c62eac7e9cfbf', 'size': 47320, 'width': 1000, '_type': 'image-file', 'format': 'png', 'height': 800, 'path': 'media/images/resnet50/conf_matrix_5_e4da704c07b6a42a4b2a.png'}"
6,0.9093260764543627,0.9289763801847727,0.9433942684465697,6,0.5936325249932586,62.32484704953622,0.47113048652816003,790.309834903,1.1346623650136984,0.8228538016109043,0.9644705569628171,0.8139879641861147,1.2231780846224223,4.0,60.74812475325701,0.9152668150846658,0.9360024322505491,1776981018.476924,
7,,,,7,,,,790.491300267,,,,,,,,,,1776981018.6586328,"{'path': 'media/images/resnet50/conf_matrix_7_960e27eba812fb3b3ee2.png', 'sha256': '960e27eba812fb3b3ee29d282f03d3b72fbddd6cfbb5781bc9c3d3cb9281484c', 'size': 47036, 'width': 1000, '_type': 'image-file', 'format': 'png', 'height': 800}"
8,0.9116382521155075,0.9380095008397683,0.9460840472869761,8,0.6237872648335662,65.91671600552596,0.5006833207360828,985.124873261,1.0824470848032512,0.8345478977252194,0.9749272914907589,0.8326137006982449,1.1232101870730096,5.0,62.65298065534939,0.9307928797910583,0.9468959768799554,1776981213.2918227,
9,,,,9,,,,985.306386597,,,,,,,,,,1776981213.473717,"{'format': 'png', 'height': 800, 'path': 'media/images/resnet50/conf_matrix_9_50c64d5db3595954dbb1.png', 'sha256': '50c64d5db3595954dbb118d524fc804bd0b89de127fe529c2d05ced82b7f24d1', 'size': 46585, 'width': 1000, '_type': 'image-file'}"
