,val/sensitivity_SCC,val/precision_AK,val/auc_BKL,val/specificity_VASC,val/precision_SCC,val/recall_NV,val/acc,val/recall_DF,_step,val/specificity_NV,val/specificity_DF,val/f1_weighted,val/precision_BCC,val/recall_AK,val/f1_AK,val/sensitivity_MEL,val/sensitivity_NV,val/recall_BCC,val/sensitivity_DF,val/auc_VASC,val/specificity_SCC,val/auc_BCC,_runtime,val/f1_NV,val/recall_VASC,val/recall_SCC,val/recall_weighted,val/specificity_macro,val/sensitivity_AK,val/specificity_BCC,val/sensitivity_VASC,val/sensitivity_BKL,train/loss,val/specificity_BKL,epoch,val/auc_DF,val/specificity_AK,val/sensitivity_macro,val/auc_macro,val/precision_VASC,val/auc_AK,val/recall_BKL,val/f1_BKL,val/auc_MEL,val/specificity_MEL,val/sensitivity_BCC,val/bacc,val/precision_NV,val/precision_DF,val/f1_BCC,val/precision_BKL,val/recall_macro,val/auc_SCC,val/f1_DF,val/f1_MEL,val/precision_macro,val/f1_macro,val/recall_MEL,val/auc_NV,val/f1_SCC,_timestamp,val/f1_VASC,val/precision_MEL,val/precision_weighted
0,0.4365079365079365,0.3016304347826087,0.8433402528779015,0.9615231259968102,0.23605150214592274,0.6966990291262136,0.6262088020524965,0.625,0,0.9077046548956661,0.9717075114564654,0.6521699242994076,0.6907051282051282,0.6416184971098265,0.41035120147874304,0.5088495575221239,0.6966990291262136,0.6481203007518797,0.625,0.9974825655940206,0.9639749038656142,0.9501832728117431,504.882490685,0.7801696020874104,1.0,0.4365079365079365,0.6262088020524965,0.943359973169357,0.6416184971098265,0.9561562925942754,1.0,0.45904761904761904,1.5083516697026202,0.9262439453985029,1,0.9474912001062629,0.9474867184307315,0.6269803675081999,0.9144409650344442,0.20901639344262296,0.932116948676095,0.45904761904761904,0.43778383287920075,0.8214987596164269,0.9120826327167908,0.6481203007518797,0.6269803675081999,0.8863636363636364,0.1744186046511628,0.6687354538401862,0.4184027777777778,0.6269803675081999,0.9162723309657129,0.2727272727272727,0.5317919075144509,0.43418615047013887,0.4692160834535549,0.5088495575221239,0.9071423896273904,0.3064066852367688,1777245435.592695,0.34576271186440677,0.5569007263922519,0.7037224141427492
1,0.5396825396825397,0.27070707070707073,0.8713337946363046,0.9808612440191388,0.4146341463414634,0.7530097087378641,0.6751529504637853,0.6875,1,0.8996789727126806,0.9788802550308826,0.6930923643397615,0.6948640483383686,0.7745664739884393,0.4011976047904192,0.5221238938053098,0.7530097087378641,0.6917293233082706,0.6875,0.9987569190355567,0.9805707346690953,0.9602306538723,1006.695659358,0.8140218303946264,0.9803921568627451,0.5396825396825397,0.6751529504637853,0.949684814310858,0.7745664739884393,0.9541117673784644,0.9803921568627451,0.5047619047619047,1.0952982378870908,0.9379128137384413,2,0.9676105797967722,0.9262362076011442,0.6817207501433842,0.9321554491446735,0.3424657534246575,0.947028448188297,0.5047619047619047,0.4944029850746268,0.855467147372874,0.9392265193370166,0.6917293233082706,0.6817207501433842,0.8857925993604385,0.23741007194244604,0.693293142426526,0.4844606946983547,0.6817207501433842,0.9380146040741061,0.3529411764705882,0.5794966236955187,0.49767110844642753,0.5389916366614568,0.5221238938053098,0.9188014461811778,0.46896551724137925,1777245937.4060006,0.5076142131979696,0.6510344827586206,0.7329416292042266
2,0.5952380952380952,0.3583061889250814,0.8911169822398355,0.9932216905901117,0.31512605042016806,0.7133980582524272,0.6883757647523189,0.7916666666666666,2,0.9357945425361156,0.9864514843594342,0.7039664107006169,0.683853459972863,0.6358381502890174,0.45833333333333337,0.6227876106194691,0.7133980582524272,0.7578947368421053,0.7916666666666666,0.9985849204115458,0.9670107265735681,0.9621081326669696,1509.023623663,0.8035870516185477,0.9215686274509803,0.5952380952380952,0.6883757647523189,0.952719444209708,0.6358381502890174,0.9470695138573376,0.9215686274509803,0.5980952380952381,0.9471117602396839,0.9299867899603699,3,0.9690011290429701,0.9597466285247241,0.7045608979317499,0.9412275812809487,0.5802469135802469,0.9527296607146652,0.5980952380952381,0.5427830596369922,0.8722123256075965,0.9024741772760029,0.7578947368421053,0.7045608979317499,0.9198798197295944,0.3584905660377358,0.7189728958630527,0.49683544303797467,0.7045608979317499,0.9513529489242908,0.49350649350649345,0.6011745862253071,0.536718724201606,0.5928208180491064,0.6227876106194691,0.9327145506397171,0.41208791208791207,1777246439.7340624,0.7121212121212122,0.5810113519091847,0.7416654725095487
3,0.6666666666666666,0.34770114942528735,0.8760831184080855,0.9852472089314195,0.35294117647058826,0.7262135922330097,0.6921255180580225,0.7916666666666666,3,0.9321829855537721,0.983462841203427,0.7078505395426752,0.6936572199730094,0.6994219653179191,0.46449136276391556,0.584070796460177,0.7262135922330097,0.7729323308270677,0.7916666666666666,0.9987491009162835,0.9688322201983404,0.9643125305312351,2016.549000859,0.8105765062852189,0.9803921568627451,0.6666666666666666,0.6921255180580225,0.953409380203449,0.6994219653179191,0.9484325306678782,0.9803921568627451,0.5752380952380952,0.8480822857622092,0.9354909731395861,4,0.9809473998804542,0.9536166734777278,0.7245752837840433,0.9426728966418201,0.4032258064516129,0.9532080098079281,0.5752380952380952,0.5392857142857143,0.8726560789423896,0.9200096084554408,0.7729323308270677,0.7245752837840433,0.9171162334477685,0.3140495867768595,0.7311522048364154,0.507563025210084,0.7245752837840433,0.962775031081042,0.44970414201183434,0.5983002832861191,0.5186868269842096,0.5783096558045313,0.584070796460177,0.9326519035671431,0.46153846153846156,1777246947.2593398,0.5714285714285714,0.6132404181184669,0.7467846974550292
4,0.7222222222222222,0.4267241379310345,0.9077939233817701,0.9906299840510366,0.35271317829457366,0.7339805825242719,0.7148213933293862,0.7083333333333334,4,0.930577849117175,0.9938234708109185,0.7264864398386455,0.7142857142857143,0.5722543352601156,0.4888888888888889,0.6537610619469026,0.7339805825242719,0.8120300751879699,0.7083333333333334,0.9986357381868218,0.9662011738514471,0.968723717517328,2521.295765682,0.815006468305304,0.9411764705882353,0.7222222222222222,0.7148213933293862,0.9560422596414875,0.5722543352601156,0.9509313948205361,0.9411764705882353,0.6266666666666667,0.7531555139633007,0.931748128577719,5,0.9558677027296274,0.9728238659583163,0.7213030934662146,0.9475294778462368,0.5052631578947369,0.9556304641049203,0.6266666666666667,0.5652920962199313,0.8919439372134206,0.9116022099447514,0.8120300751879699,0.7213030934662146,0.9161415414444983,0.5230769230769231,0.7600281491907108,0.514866979655712,0.7213030934662146,0.9648551318253807,0.6017699115044248,0.6344605475040258,0.5711673221646614,0.6246173301902451,0.6537610619469026,0.9367852078106251,0.4739583333333333,1777247452.0061412,0.6575342465753425,0.616266944734098,0.7559929349251956
5,0.6746031746031746,0.38699690402476783,0.904163888364681,0.9952153110047847,0.5029585798816568,0.749126213592233,0.7317939609236235,0.7708333333333334,5,0.9333868378812199,0.9942219565650527,0.7418198228585203,0.7406417112299465,0.7225433526011561,0.5040322580645161,0.6747787610619469,0.749126213592233,0.8330827067669173,0.7708333333333334,0.9985575569940895,0.9829993928354585,0.9757031151253874,3024.28215968,0.8261241970021413,0.9215686274509803,0.6746031746031746,0.7317939609236235,0.958380762650511,0.7225433526011561,0.9559291231258519,0.9215686274509803,0.6114285714285714,0.6890516078293512,0.9423161602818142,6,0.9708109185096632,0.9595422966898243,0.7447455926047891,0.9517654045311519,0.6619718309859155,0.9615785283855895,0.6114285714285714,0.5794223826714802,0.8965847467895641,0.9034350228200817,0.8330827067669173,0.7447455926047891,0.920763723150358,0.5606060606060606,0.7841472045293703,0.5506003430531733,0.7447455926047891,0.9644599929967266,0.6491228070175438,0.6367432150313151,0.6159132439188564,0.6657943817544667,0.6747787610619469,0.9422644890835139,0.5762711864406781,1777247954.9925396,0.7704918032786885,0.6027667984189723,0.7674072608455693
6,0.5793650793650794,0.4517374517374517,0.9266897318152272,0.9860446570972887,0.5251798561151079,0.7669902912621359,0.7313992500493388,0.8541666666666666,6,0.9181380417335474,0.9778840406455469,0.741697265528114,0.7327001356852103,0.6763005780346821,0.5416666666666667,0.6238938053097345,0.7669902912621359,0.8120300751879699,0.8541666666666666,0.9992729149075898,0.986642380085003,0.9733395278291138,3530.107993225,0.8308792595708876,0.9803921568627451,0.5793650793650794,0.7313992500493388,0.9578164192820795,0.6763005780346821,0.9552476147205815,0.9803921568627451,0.659047619047619,0.6296996632914061,0.9478203434610304,7,0.9786436541143654,0.9709848794442174,0.7440232839670791,0.9540706511543112,0.4166666666666667,0.9656415429061419,0.659047619047619,0.6245487364620939,0.8908993896930183,0.9197693970694211,0.8120300751879699,0.7440232839670791,0.9063790729692519,0.26973684210526316,0.7703281027104136,0.5934819897084048,0.7440232839670791,0.9595303951709535,0.41000000000000003,0.6259711431742507,0.5654930469736422,0.6173915783060193,0.6238938053097345,0.9385480527980801,0.5509433962264151,1777248460.8183038,0.5847953216374269,0.6280623608017817,0.7655493845135873
7,0.7222222222222222,0.403030303030303,0.9015541716466419,0.995414673046252,0.3433962264150943,0.7607766990291263,0.7272547858693507,0.7916666666666666,7,0.9253611556982343,0.9928272564255828,0.7387577406010375,0.7456953642384105,0.7687861271676301,0.5288270377733599,0.5597345132743363,0.7607766990291263,0.8466165413533835,0.7916666666666666,0.9996364574537949,0.9647844565877353,0.9775286694701315,4034.163461527,0.830084745762712,0.9607843137254902,0.7222222222222222,0.7272547858693507,0.957966486700399,0.7687861271676301,0.9563834620626988,0.9607843137254902,0.659047619047619,0.5830990408285747,0.9220607661822986,8,0.9792787407850169,0.9597466285247241,0.7587043378108094,0.9512603408623398,0.6805555555555556,0.9609371862679559,0.659047619047619,0.5648979591836735,0.8902427941898605,0.9471534950756666,0.8466165413533835,0.7587043378108094,0.9132867132867133,0.5135135135135135,0.7929577464788732,0.4942857142857143,0.7587043378108094,0.958640529678781,0.6229508196721311,0.6208588957055214,0.5988416359118751,0.6528497897294996,0.5597345132743363,0.9422641774065359,0.4654731457800511,1777248964.8738668,0.7967479674796749,0.696969696969697,0.7715631456338982
8,0.6984126984126984,0.4460431654676259,0.9316277704388669,0.992822966507177,0.4782608695652174,0.7949514563106796,0.7580422340635484,0.7916666666666666,8,0.9185393258426966,0.9914325562861128,0.7644484571708234,0.7450980392156863,0.7167630057803468,0.549889135254989,0.6382743362831859,0.7949514563106796,0.8571428571428571,0.7916666666666666,0.9996520936923413,0.9805707346690953,0.9769721896745498,4541.02548426,0.8484974093264248,1.0,0.6984126984126984,0.7580422340635484,0.9615230917286292,0.7167630057803468,0.9557019536574285,1.0,0.659047619047619,0.5304895775504292,0.9511228533685601,9,0.9702588497044564,0.9685328974254189,0.7695323299555067,0.9584672932301166,0.5862068965517241,0.9610482105019477,0.659047619047619,0.6331198536139067,0.9064645029218633,0.9334614460725439,0.8571428571428571,0.7695323299555067,0.9097777777777778,0.4691358024691358,0.7972027972027971,0.6091549295774648,0.7695323299555067,0.9758274624698426,0.5891472868217054,0.6564277588168373,0.6149151885909596,0.6726445764128925,0.6382743362831859,0.9458872664370646,0.5677419354838709,1777249471.735844,0.7391304347826086,0.6756440281030445,0.7812508231149209
9,0.753968253968254,0.43973941368078173,0.9298454635046445,0.9962121212121212,0.48223350253807107,0.8318446601941748,0.7716597592263666,0.8541666666666666,9,0.9012841091492777,0.9864514843594342,0.7767452265103852,0.776551724137931,0.7803468208092486,0.5625,0.5796460176991151,0.8318446601941748,0.8466165413533835,0.8541666666666666,0.9990305532101197,0.9793564055859137,0.9805764980374608,5048.677972403,0.8631875881523273,0.9607843137254902,0.753968253968254,0.7716597592263666,0.9628006141900187,0.7803468208092486,0.9631985461154021,0.9607843137254902,0.6876190476190476,0.4874459412595263,0.9533245266402466,10,0.98380321445175,0.9648549243972211,0.7868740402544225,0.9612579532035088,0.7205882352941176,0.9673470641176763,0.6876190476190476,0.6575591985428051,0.9114015909221354,0.9577227960605332,0.8466165413533835,0.7868740402544225,0.8969849246231156,0.3761467889908257,0.8100719424460432,0.6300174520069808,0.7868740402544225,0.9728526774671279,0.5222929936305732,0.6533665835411471,0.6338541837304066,0.6850928765244061,0.5796460176991151,0.9452065639171563,0.5882352941176471,1777249979.3883636,0.823529411764706,0.7485714285714286,0.7944054069363756
