,val/sensitivity_SCC,val/precision_AK,val/auc_BKL,val/specificity_VASC,val/precision_SCC,val/recall_NV,val/acc,val/recall_DF,_step,val/specificity_NV,val/specificity_DF,val/f1_weighted,val/precision_BCC,val/recall_AK,val/f1_AK,val/sensitivity_MEL,val/sensitivity_NV,val/recall_BCC,val/sensitivity_DF,val/auc_VASC,val/specificity_SCC,val/auc_BCC,_runtime,val/f1_NV,val/recall_VASC,val/recall_SCC,val/recall_weighted,val/specificity_macro,val/sensitivity_AK,val/specificity_BCC,val/sensitivity_VASC,val/sensitivity_BKL,train/loss,val/specificity_BKL,epoch,val/auc_DF,val/specificity_AK,val/sensitivity_macro,val/auc_macro,val/precision_VASC,val/auc_AK,val/recall_BKL,val/f1_BKL,val/auc_MEL,val/specificity_MEL,val/sensitivity_BCC,val/bacc,val/precision_NV,val/precision_DF,val/f1_BCC,val/precision_BKL,val/recall_macro,val/auc_SCC,val/f1_DF,val/f1_MEL,val/precision_macro,val/f1_macro,val/recall_MEL,val/auc_NV,val/f1_SCC,_timestamp,val/f1_VASC,val/precision_MEL,val/precision_weighted,confusion_matrix/final,confusion_matrix/best
0,0.0,0.0,0.5851063829787234,0.8823529411764706,0.0,0.0,0.0784313725490196,0.0,0,1.0,0.9607843137254902,0.04705882352941177,0.3333333333333333,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,NaN,0.9795918367346939,0.6558441558441559,0.283253519,0.0,0.0,0.0,0.0784313725490196,0.8803779248643364,0.0,0.9545454545454546,0.0,0.75,0.16965135501231998,0.6382978723404256,1.0,NaN,0.6274509803921569,0.11160714285714285,0.6295834058245406,0.0,NaN,0.75,0.24999999999999997,0.37500000000000006,1.0,0.14285714285714285,0.17857142857142855,0.0,0.0,0.2,0.15,0.11160714285714285,0.9285714285714286,0.0,0.0,0.06041666666666666,0.05625,0.0,0.603395061728395,0.0,1776623628.374052,0.0,0.0,0.05751633986928104,,
1,0.5,0.0,0.6648936170212766,0.9019607843137255,0.1,0.0,0.09803921568627451,0.0,1,1.0,0.9411764705882353,0.07886710239651416,0.6666666666666666,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,NaN,0.8163265306122449,0.6461038961038961,0.283253519,0.0,0.0,0.5,0.09803921568627451,0.8827874645989924,0.0,0.9772727272727273,0.0,0.5,0.12768117854228386,0.7446808510638298,2.0,NaN,0.7058823529411765,0.1607142857142857,0.6490715106875188,0.0,NaN,0.5,0.22222222222222224,0.3999999999999999,0.975,0.2857142857142857,0.2571428571428571,0.0,0.0,0.4,0.14285714285714285,0.1607142857142857,0.8877551020408164,0.0,0.0,0.11369047619047619,0.09861111111111111,0.0,0.6466049382716049,0.16666666666666669,1776623632.360095,0.0,0.0,0.10662931839402426,,
2,0.0,0.0,0.7127659574468086,0.803921568627451,0.0,0.0,0.0392156862745098,0.0,2,1.0,0.9607843137254902,0.05392156862745098,1.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,NaN,0.673469387755102,0.607142857142857,0.283253519,0.0,0.0,0.0,0.0392156862745098,0.8770015186925835,0.0,1.0,0.0,0.25,0.10229280959958068,0.9361702127659575,3.0,NaN,0.6666666666666666,0.049107142857142856,0.658081490350994,0.0,NaN,0.25,0.25,0.42045454545454547,0.975,0.14285714285714285,0.07857142857142857,0.0,0.0,0.25,0.25,0.049107142857142856,0.8571428571428572,0.0,0.0,0.15625,0.0625,0.0,0.6929012345679013,0.0,1776623636.4033008,0.0,0.0,0.1568627450980392,,
3,0.0,0.0,0.75,0.8235294117647058,0.0,0.0,0.058823529411764705,0.0,3,1.0,0.9411764705882353,0.06971677559912853,0.5,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,NaN,0.7551020408163265,0.5616883116883117,0.283253519,0.0,0.0,0.0,0.058823529411764705,0.880345344133785,0.0,0.9772727272727273,0.0,0.5,0.08366281485471588,0.9574468085106383,4.0,NaN,0.5882352941176471,0.08035714285714285,0.6616356306832498,0.0,NaN,0.5,0.5,0.46590909090909094,1.0,0.14285714285714285,0.12857142857142856,0.0,0.0,0.22222222222222224,0.5,0.08035714285714285,0.8469387755102041,0.0,0.0,0.125,0.09027777777777778,0.0,0.6836419753086419,0.0,1776623640.3664114,0.0,0.0,0.10784313725490197,,
4,0.0,0.0,0.75,0.7647058823529411,0.0,0.0,0.0196078431372549,0.0,4,1.0,0.9411764705882353,0.01568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.8571428571428571,0.5194805194805194,0.283253519,0.0,0.0,0.0,0.0196078431372549,0.8757077299004707,0.0,1.0,0.0,0.25,0.07796075503126933,0.8936170212765957,5.0,NaN,0.5490196078431373,0.03125,0.6109353168876978,0.0,NaN,0.25,0.2,0.4659090909090909,1.0,0.0,0.05,0.0,0.0,0.0,0.16666666666666666,0.03125,0.5816326530612244,0.0,0.0,0.020833333333333332,0.025,0.0,0.7376543209876543,0.0,1776623644.3730433,0.0,0.0,0.0130718954248366,,
5,0.0,0.0,0.6914893617021277,0.8627450980392157,0.0,0.0,0.0392156862745098,0.0,5,1.0,0.8627450980392157,0.022408963585434174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.8367346938775511,0.461038961038961,0.283253519,0.0,0.0,0.0,0.0392156862745098,0.8774328880488366,0.0,1.0,0.0,0.5,0.04880218595588723,0.8297872340425532,6.0,NaN,0.6274509803921569,0.0625,0.5663230217941464,0.0,NaN,0.5,0.28571428571428575,0.4772727272727273,1.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0625,0.47959183673469385,0.0,0.0,0.025,0.03571428571428571,0.0,0.7222222222222222,0.0,1776623648.3789923,0.0,0.0,0.01568627450980392,,
6,0.0,0.0,0.6648936170212767,0.803921568627451,0.0,0.0,0.0196078431372549,0.0,6,1.0,0.9411764705882353,0.012066365007541479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.7346938775510204,0.4642857142857143,0.283253519,0.0,0.0,0.0,0.0196078431372549,0.8744817075766478,0.0,1.0,0.0,0.25,0.03529168206911821,0.8297872340425532,7.0,NaN,0.6862745098039216,0.03125,0.55462156909472,0.0,NaN,0.25,0.15384615384615383,0.4863636363636364,1.0,0.0,0.05,0.0,0.0,0.0,0.1111111111111111,0.03125,0.41836734693877553,0.0,0.0,0.013888888888888888,0.019230769230769232,0.0,0.7391975308641975,0.0,1776623652.3318317,0.0,0.0,0.008714596949891067,,
7,0.0,0.0,0.5957446808510638,0.8431372549019608,0.0,0.0,0.0196078431372549,0.0,7,1.0,0.9411764705882353,0.017429193899782133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.5918367346938775,0.4837662337662337,0.283253519,0.0,0.0,0.0,0.0196078431372549,0.8746158037683158,0.0,1.0,0.0,0.25,0.028662827644998636,0.9148936170212766,8.0,NaN,0.7058823529411765,0.03125,0.5551575483693011,0.0,NaN,0.25,0.22222222222222224,0.4886363636363636,1.0,0.0,0.05,0.0,0.0,0.0,0.2,0.03125,0.4591836734693877,0.0,0.0,0.025,0.027777777777777776,0.0,0.7484567901234568,0.0,1776623656.3400662,0.0,0.0,0.01568627450980392,,
8,0.0,0.0,0.5797872340425532,0.8235294117647058,0.0,0.0,0.0196078431372549,0.0,8,1.0,0.9607843137254902,0.012066365007541479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.5918367346938775,0.4935064935064935,0.283253519,0.0,0.0,0.0,0.0196078431372549,0.8737814274646029,0.0,1.0,0.0,0.25,0.02532503179883441,0.8297872340425532,9.0,NaN,0.7843137254901961,0.03125,0.5627638326625155,0.0,NaN,0.25,0.15384615384615383,0.5022727272727273,1.0,0.0,0.05,0.0,0.0,0.0,0.1111111111111111,0.03125,0.4897959183673469,0.0,0.0,0.013888888888888888,0.019230769230769232,0.0,0.7484567901234568,0.0,1776623660.3382409,0.0,0.0,0.008714596949891067,,
9,0.0,0.0,0.5691489361702128,0.803921568627451,0.0,0.0,0.0196078431372549,0.0,9,1.0,0.9803921568627451,0.012066365007541479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.5918367346938775,0.512987012987013,0.283253519,0.0,0.0,0.0,0.0196078431372549,0.8737814274646029,0.0,1.0,0.0,0.25,0.027697369599571593,0.8297872340425532,10.0,NaN,0.7843137254901961,0.03125,0.5464061174294204,0.0,NaN,0.25,0.15384615384615383,0.5340909090909091,1.0,0.0,0.05,0.0,0.0,0.0,0.1111111111111111,0.03125,0.36734693877551017,0.0,0.0,0.013888888888888888,0.019230769230769232,0.0,0.7484567901234568,0.0,1776623664.3312066,0.0,0.0,0.008714596949891067,,
