run_id,name,state,architecture,loss_fn,augmentation,pretrained,freeze_bb,lr,batch_size,best_bacc,best_acc,best_f1_macro,best_auc_macro,best_precision,best_recall,best_mel_sens_at_95spec,params,inference_ms
vpcs9peg,efficientnet_b0_weighted_ce_False,finished,efficientnet_b0,weighted_ce,standard,True,False,0.0001,32.0,0.45901875901875905,0.5098039215686274,0.2810989010989011,0.6434057782436708,0.28998778998778996,0.3278705421562565,,4017796.0,7.98
z8lspvrc,mobilenetv3_small_focal_standard_pretrainedTrue,finished,mobilenetv3_small,focal,standard,True,True,0.0001,8.0,0.44278738939665774,0.1936056838365897,0.18525606191741545,0.8290545966024981,0.3185267236371309,0.44278738939665774,,1526056.0,7.01
v2xoloth,mobilenetv3_small_ce_standard_pretrainedTrue,finished,mobilenetv3_small,ce,standard,True,True,0.0001,8.0,0.43248553536774303,0.6822577462009078,0.4554169385282979,0.9017279080798082,0.5639250219714144,0.43248553536774303,,1526056.0,5.23
7zi5n5tq,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,0.413059163059163,,,,,,,1526056.0,6.13
vivht0cq,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,0.413059163059163,0.5294117647058824,0.2404874537227478,,,,,1526056.0,5.37
nzuy2c16,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,0.3915103415103415,,,,,,,1526056.0,5.89
v0ii2tcd,mobilenet_v3_small_weighted_ce_standard_pretrainedTrue,finished,mobilenet_v3_small,weighted_ce,standard,True,False,0.0001,32.0,0.32926887926887927,,,,,,,1526056.0,5.31
9m01pk3b,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,7.6
lknhk0c5,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,8.48
cgy97s05,efficientnet_b0_weighted_ce_True,finished,efficientnet_b0,weighted_ce,standard,True,True,0.0001,32.0,0.2943482443482443,0.4117647058823529,0.21046837339586996,0.5392333865991414,0.23699494949494948,0.21024874596303164,,4017796.0,7.68
