,val/sensitivity_SCC,val/precision_AK,val/auc_BKL,val/specificity_VASC,val/precision_SCC,val/recall_NV,val/acc,val/recall_DF,_step,val/specificity_NV,val/specificity_DF,val/f1_weighted,val/precision_BCC,val/recall_AK,val/f1_AK,val/sensitivity_MEL,val/sensitivity_NV,val/recall_BCC,val/sensitivity_DF,val/auc_VASC,val/specificity_SCC,val/auc_BCC,_runtime,val/f1_NV,val/recall_VASC,val/recall_SCC,val/recall_weighted,val/specificity_macro,val/sensitivity_AK,val/specificity_BCC,val/sensitivity_VASC,val/sensitivity_BKL,train/loss,val/specificity_BKL,epoch,val/auc_DF,val/specificity_AK,val/sensitivity_macro,val/auc_macro,val/precision_VASC,val/auc_AK,val/recall_BKL,val/f1_BKL,val/auc_MEL,val/specificity_MEL,val/sensitivity_BCC,val/bacc,val/precision_NV,val/precision_DF,val/f1_BCC,val/precision_BKL,val/recall_macro,val/auc_SCC,val/f1_DF,val/f1_MEL,val/precision_macro,val/f1_macro,val/recall_MEL,val/auc_NV,val/f1_SCC,_timestamp,val/f1_VASC,val/precision_MEL,val/precision_weighted,confusion_matrix/final,confusion_matrix/best
0,0.0,0.0,0.601063829787234,0.9215686274509803,0.0,0.07407407407407407,0.19607843137254902,0.0,0,0.9166666666666666,0.9803921568627451,0.17767938716705317,0.36363636363636365,0.0,0.0,0.09090909090909091,0.07407407407407407,0.5714285714285714,0.0,NaN,0.9795918367346939,0.6883116883116883,0.262213692,0.12903225806451613,0.0,0.0,0.19607843137254902,0.8855973990176341,0.0,0.8409090909090909,0.0,0.75,2.040484845638275,0.6382978723404256,1.0,NaN,0.8823529411764706,0.18580146705146705,0.633641497719512,0.0,NaN,0.75,0.24999999999999997,0.4954545454545455,0.925,0.5714285714285714,0.29728234728234726,0.5,0.0,0.4444444444444444,0.15,0.18580146705146705,0.8571428571428572,0.0,0.13333333333333333,0.15795454545454546,0.11960125448028673,0.09090909090909091,0.5262345679012346,0.0,1776622857.8896081,0.0,0.25,0.38030303030303036,,
1,0.0,0.0,0.5957446808510638,0.9803921568627451,0.0,0.4074074074074074,0.35294117647058826,0.0,1,0.8333333333333334,1.0,0.37523130464306936,0.3076923076923077,0.0,0.0,0.09090909090909091,0.4074074074074074,0.5714285714285714,0.0,NaN,1.0,0.7435064935064936,0.262213692,0.5238095238095238,0.0,0.0,0.35294117647058826,0.8992193129669663,0.0,0.7954545454545454,0.0,0.5,1.8000819728924677,0.6595744680851063,2.0,NaN,1.0,0.1962181337181337,0.685670501025111,0.0,NaN,0.5,0.1818181818181818,0.6409090909090909,0.925,0.5714285714285714,0.3139490139490139,0.7333333333333333,0.0,0.4,0.1111111111111111,0.26162417829084494,0.8571428571428572,0.0,0.13333333333333333,0.23368945868945867,0.2064935064935065,0.09090909090909091,0.5910493827160493,0.0,1776622861.9105916,0.0,0.25,0.4931037372213842,,
2,0.0,0.0,0.6436170212765957,1.0,0.0,0.5925925925925926,0.47058823529411764,0.0,2,0.75,1.0,0.4790716286514606,0.35714285714285715,0.0,0.0,0.18181818181818182,0.5925925925925926,0.7142857142857143,0.0,NaN,1.0,0.7694805194805194,0.262213692,0.6530612244897959,0.0,0.0,0.47058823529411764,0.9103360735009671,0.0,0.7954545454545454,0.0,0.25,1.6889518132576575,0.7872340425531915,3.0,NaN,1.0,0.21733706108706108,0.7316969034192945,0.0,NaN,0.25,0.13333333333333333,0.7295454545454545,0.95,0.7142857142857143,0.34773929773929774,0.7272727272727273,0.0,0.4761904761904762,0.09090909090909091,0.34773929773929774,0.8877551020408164,0.0,0.26666666666666666,0.33506493506493507,0.3058503401360544,0.18181818181818182,0.6280864197530864,0.0,1776622865.9721575,0.0,0.5,0.5490196078431373,,
3,0.0,0.0,0.6276595744680851,1.0,0.0,0.5925925925925926,0.47058823529411764,0.0,3,0.8333333333333334,1.0,0.496149287138023,0.35714285714285715,0.0,0.0,0.18181818181818182,0.5925925925925926,0.7142857142857143,0.0,NaN,1.0,0.8116883116883117,0.262213692,0.6808510638297872,0.0,0.0,0.47058823529411764,0.9158990167633785,0.0,0.7954545454545454,0.0,0.25,1.5907109517317553,0.723404255319149,4.0,NaN,1.0,0.21733706108706108,0.7202853448851423,0.0,NaN,0.25,0.11111111111111112,0.7545454545454546,0.975,0.7142857142857143,0.34773929773929774,0.8,0.0,0.4761904761904762,0.07142857142857142,0.34773929773929774,0.7346938775510204,0.0,0.28571428571428575,0.3790476190476191,0.31077338736913207,0.18181818181818182,0.6728395061728395,0.0,1776622870.0024345,0.0,0.6666666666666666,0.6219421101774043,,
4,0.0,0.0,0.5957446808510638,1.0,0.0,0.5185185185185185,0.43137254901960786,0.0,4,0.8333333333333334,1.0,0.4391245493412676,0.3333333333333333,0.0,0.0,0.09090909090909091,0.5185185185185185,0.7142857142857143,0.0,NaN,1.0,0.8246753246753247,0.262213692,0.6222222222222222,0.0,0.0,0.43137254901960786,0.9099331076724693,0.0,0.7727272727272727,0.0,0.5,1.5277522573104272,0.723404255319149,5.0,NaN,1.0,0.22796416546416548,0.7214116998615479,0.0,NaN,0.5,0.2105263157894737,0.7659090909090909,0.95,0.7142857142857143,0.36474266474266476,0.7777777777777778,0.0,0.4545454545454545,0.13333333333333333,0.36474266474266476,0.6938775510204082,0.0,0.14285714285714288,0.31555555555555553,0.28603022708285863,0.09090909090909091,0.7268518518518519,0.0,1776622873.9716604,0.0,0.3333333333333333,0.5398692810457517,,
5,0.0,0.0,0.5319148936170213,1.0,0.0,0.48148148148148145,0.39215686274509803,0.0,5,0.875,1.0,0.4396578645552654,0.3076923076923077,0.0,0.0,0.18181818181818182,0.48148148148148145,0.5714285714285714,0.0,NaN,1.0,0.8149350649350648,0.262213692,0.6046511627906976,0.0,0.0,0.39215686274509803,0.9073440522243713,0.0,0.7954545454545454,0.0,0.25,1.373879237816884,0.6382978723404256,6.0,NaN,1.0,0.18559102934102933,0.6992694397051034,0.0,NaN,0.25,0.0909090909090909,0.7477272727272728,0.95,0.5714285714285714,0.29694564694564696,0.8125,0.0,0.4,0.05555555555555555,0.29694564694564696,0.6224489795918366,0.0,0.26666666666666666,0.3351495726495727,0.27244538407329105,0.18181818181818182,0.779320987654321,0.0,1776622878.0437691,0.0,0.5,0.5845797720797721,,
6,0.0,0.0,0.5638297872340425,1.0,0.0,0.5185185185185185,0.39215686274509803,0.0,6,0.8333333333333334,1.0,0.4263022380669439,0.36363636363636365,0.0,0.0,0.09090909090909091,0.5185185185185185,0.5714285714285714,0.0,NaN,1.0,0.8409090909090909,0.262213692,0.6222222222222222,0.0,0.0,0.39215686274509803,0.9046925370728562,0.0,0.8409090909090909,0.0,0.25,1.3093965168182666,0.6382978723404256,7.0,NaN,1.0,0.1788570226070226,0.6385413989365356,0.0,NaN,0.25,0.0909090909090909,0.7022727272727273,0.925,0.5714285714285714,0.2861712361712362,0.7777777777777778,0.0,0.4444444444444444,0.05555555555555555,0.2861712361712362,0.2755102040816326,0.0,0.13333333333333333,0.2893939393939394,0.2581818181818182,0.09090909090909091,0.8101851851851851,0.0,1776622881.9866955,0.0,0.25,0.5199544464250346,,
7,0.0,0.0,0.5372340425531915,1.0,0.0,0.48148148148148145,0.4117647058823529,0.0,7,0.8333333333333334,1.0,0.4409259841785793,0.38461538461538464,0.0,0.0,0.18181818181818182,0.48148148148148145,0.7142857142857143,0.0,NaN,1.0,0.8538961038961039,0.262213692,0.5909090909090909,0.0,0.0,0.4117647058823529,0.9069139454621307,0.0,0.8181818181818182,0.0,0.25,1.1741623695080097,0.723404255319149,8.0,NaN,0.9803921568627451,0.20344817219817218,0.6389247397504743,0.0,NaN,0.25,0.11111111111111112,0.7295454545454545,0.9,0.7142857142857143,0.3255170755170755,0.7647058823529411,0.0,0.5,0.07142857142857142,0.2712642295975629,0.2653061224489796,0.0,0.23529411764705885,0.2590138619550384,0.23955238661121014,0.18181818181818182,0.8086419753086419,0.0,1776622885.9943137,0.0,0.3333333333333333,0.5351323032983932,,
8,0.0,0.0,0.5319148936170213,1.0,0.0,0.48148148148148145,0.39215686274509803,0.0,8,0.8333333333333334,1.0,0.41987756825218114,0.4166666666666667,0.0,0.0,0.09090909090909091,0.48148148148148145,0.7142857142857143,0.0,NaN,1.0,0.8603896103896104,0.262213692,0.5909090909090909,0.0,0.0,0.39215686274509803,0.9044357056168696,0.0,0.8409090909090909,0.0,0.25,1.0940209076954768,0.6808510638297872,9.0,NaN,0.9803921568627451,0.19208453583453583,0.6530919047180446,0.0,NaN,0.25,0.1,0.6863636363636363,0.9,0.7142857142857143,0.30733525733525735,0.7647058823529411,0.0,0.5263157894736842,0.0625,0.2561127144460478,0.3673469387755102,0.0,0.12500000000000003,0.2406454248366013,0.22370414673046254,0.09090909090909091,0.8194444444444444,0.0,1776622889.9296505,0.0,0.2,0.510073048827374,,
9,0.0,0.0,0.5531914893617021,1.0,0.0,0.5185185185185185,0.47058823529411764,0.0,9,0.875,1.0,0.499861358684888,0.46153846153846156,0.0,0.0,0.2727272727272727,0.5185185185185185,0.8571428571428571,0.0,NaN,1.0,0.8701298701298701,0.262213692,0.6363636363636364,0.0,0.0,0.47058823529411764,0.91741416827853,0.0,0.8409090909090909,0.0,0.25,1.086440140238175,0.723404255319149,10.0,NaN,1.0,0.23729858104858104,0.6586704332854282,0.0,NaN,0.25,0.11111111111111112,0.7113636363636363,0.9,0.8571428571428571,0.37967772967772967,0.8235294117647058,0.0,0.6,0.07142857142857142,0.37967772967772967,0.34693877551020413,0.0,0.33333333333333326,0.3570135746606335,0.3361616161616162,0.2727272727272727,0.8117283950617283,0.0,1776622893.9270637,0.0,0.42857142857142855,0.5973737911454174,,
