,Loss,Accuracy (%),Balanced Accuracy (%),AUC (%)
EfficientNet-B0,1.154039368127127,59.719755279257946,52.632379541628396,86.80603610758722
MobileNetV3-Small,1.6857714934169121,39.372409709887506,33.70582530555497,76.35692319331832
ResNet-50,1.1478216865527555,57.66725873297809,48.67099413978268,86.73168154277914
