,val/sensitivity_SCC,val/precision_AK,val/auc_BKL,val/specificity_VASC,val/precision_SCC,val/recall_NV,val/acc,val/mel_sens_at_95spec,val/recall_DF,_step,val/specificity_NV,val/specificity_DF,val/f1_weighted,val/precision_BCC,val/recall_AK,val/f1_AK,val/sensitivity_MEL,val/sensitivity_NV,val/recall_BCC,val/sensitivity_DF,val/auc_VASC,val/specificity_SCC,val/auc_BCC,_runtime,val/f1_NV,val/recall_VASC,val/recall_SCC,val/recall_weighted,val/specificity_macro,val/sensitivity_AK,val/specificity_BCC,val/sensitivity_VASC,val/sensitivity_BKL,train/loss,val/specificity_BKL,epoch,val/auc_DF,val/specificity_AK,val/sensitivity_macro,val/auc_macro,val/precision_VASC,val/auc_AK,val/recall_BKL,val/f1_BKL,val/auc_MEL,val/specificity_MEL,val/sensitivity_BCC,val/bacc,val/precision_NV,val/precision_DF,val/f1_BCC,val/precision_BKL,val/recall_macro,val/auc_SCC,val/f1_DF,val/f1_MEL,val/precision_macro,val/f1_macro,val/recall_MEL,val/auc_NV,val/f1_SCC,_timestamp,val/f1_VASC,val/precision_MEL,val/precision_weighted,confusion_matrix/final,confusion_matrix/best
0,0.0,0.0,0.5691489361702128,0.8823529411764706,0.0,0.0,0.11764705882352941,0.09090909090909091,0.0,0,1.0,0.9411764705882353,0.10215970446149474,0.4,0.0,0.0,0.09090909090909091,0.0,0.2857142857142857,0.0,NaN,0.9795918367346939,0.6461038961038961,0.276787061,0.0,0.0,0.0,0.11764705882352941,0.8850985510258262,0.0,0.9318181818181818,0.0,0.75,0.1687599838926242,0.6595744680851063,1.0,NaN,0.6862745098039216,0.14082792207792208,0.6232523576089939,0.0,NaN,0.75,0.2608695652173913,0.3727272727272727,1.0,0.2857142857142857,0.22532467532467532,0.0,0.0,0.3333333333333333,0.15789473684210525,0.14082792207792208,0.9387755102040817,0.0,0.16666666666666669,0.19473684210526315,0.09510869565217392,0.09090909090909091,0.5895061728395061,0.0,1777431075.2573957,0.0,1.0,0.28297213622291023,,
1,1.0,0.0,0.6276595744680851,0.8823529411764706,0.18181818181818182,0.0,0.13725490196078433,0.09090909090909091,0.0,1,1.0,0.9607843137254902,0.12233530918652025,1.0,0.0,0.0,0.09090909090909091,0.0,0.2857142857142857,0.0,NaN,0.8163265306122449,0.6525974025974026,0.276787061,0.0,0.0,1.0,0.13725490196078433,0.8876139285501434,0.0,1.0,0.0,0.5,0.14093243088931418,0.7659574468085106,2.0,NaN,0.7254901960784313,0.23457792207792208,0.6559819939151247,0.0,NaN,0.5,0.23529411764705882,0.3886363636363636,0.95,0.2857142857142857,0.37532467532467534,0.0,0.0,0.4444444444444445,0.15384615384615385,0.23457792207792208,0.9489795918367347,0.0,0.14285714285714288,0.2086247086247086,0.14128600158011922,0.09090909090909091,0.662037037037037,0.3076923076923077,1777431079.0798888,0.0,0.3333333333333333,0.22834681658211067,,
2,1.0,0.0,0.6276595744680851,0.8431372549019608,0.11764705882352941,0.0,0.0392156862745098,0.0,0.0,2,1.0,0.9803921568627451,0.008255933952528379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.6938775510204082,0.6558441558441558,0.276787061,0.0,0.0,1.0,0.0392156862745098,0.8764757764808051,0.0,1.0,0.0,0.0,0.1221530799073382,0.8723404255319149,3.0,NaN,0.6470588235294118,0.125,0.6520239325761109,0.0,NaN,0.0,0.0,0.36818181818181817,0.975,0.0,0.2,0.0,0.0,0.0,0.0,0.125,0.8877551020408163,0.0,0.0,0.014705882352941176,0.02631578947368421,0.0,0.720679012345679,0.21052631578947367,1777431082.8145442,0.0,0.0,0.00461361014994233,,
3,0.5,0.0,0.6223404255319149,0.8627450980392157,0.07142857142857142,0.0,0.0392156862745098,0.0,0.0,3,1.0,0.9803921568627451,0.02233115468409586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.7346938775510204,0.6623376623376623,0.276787061,0.0,0.0,0.5,0.0392156862745098,0.8770930446646744,0.0,1.0,0.0,0.25,0.11919040849002507,0.9148936170212766,4.0,NaN,0.5490196078431373,0.09375,0.6537251684110854,0.0,NaN,0.25,0.22222222222222224,0.3931818181818182,0.975,0.0,0.15,0.0,0.0,0.0,0.2,0.09375,0.8469387755102041,0.0,0.0,0.03392857142857143,0.043402777777777776,0.0,0.7438271604938271,0.125,1777431086.4842932,0.0,0.0,0.018487394957983194,,
4,0.5,0.0,0.6170212765957447,0.7058823529411765,0.07692307692307693,0.0,0.0196078431372549,0.0,0.0,4,1.0,0.9803921568627451,0.00522875816993464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.7551020408163265,0.6590909090909092,0.276787061,0.0,0.0,0.5,0.0196078431372549,0.875416123896367,0.0,1.0,0.0,0.0,0.10490529781852204,0.9148936170212766,5.0,NaN,0.6470588235294118,0.0625,0.6188183738285055,0.0,NaN,0.0,0.0,0.3818181818181818,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0625,0.6938775510204082,0.0,0.0,0.009615384615384616,0.016666666666666666,0.0,0.7422839506172839,0.13333333333333336,1777431090.1840527,0.0,0.0,0.0030165912518853697,,
5,0.5,0.0,0.5904255319148937,0.7058823529411765,0.09090909090909091,0.0,0.0392156862745098,0.0,0.0,5,1.0,0.9215686274509803,0.021719457013574663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.7959183673469388,0.6298701298701299,0.276787061,0.0,0.0,0.5,0.0392156862745098,0.8778585902446085,0.0,1.0,0.0,0.25,0.08770598406688525,0.8936170212765957,6.0,NaN,0.7058823529411765,0.09375,0.5975107689038793,0.0,NaN,0.25,0.2,0.3886363636363636,1.0,0.0,0.15,0.0,0.0,0.0,0.16666666666666666,0.09375,0.6224489795918366,0.0,0.0,0.032196969696969696,0.04423076923076923,0.0,0.7561728395061728,0.15384615384615385,1777431093.8926818,0.0,0.0,0.0166369578134284,,
6,0.5,0.0,0.5904255319148937,0.7254901960784313,0.05555555555555555,0.0,0.0392156862745098,0.0,0.0,6,1.0,0.9607843137254902,0.0196078431372549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.6530612244897959,0.6071428571428571,0.276787061,0.0,0.0,0.5,0.0392156862745098,0.8771583101325636,0.0,1.0,0.0,0.25,0.07911750973345569,0.8936170212765957,7.0,NaN,0.7843137254901961,0.09375,0.5702076927912794,0.0,NaN,0.25,0.2,0.38863636363636356,1.0,0.0,0.15,0.0,0.0,0.0,0.16666666666666666,0.09375,0.5102040816326531,0.0,0.0,0.027777777777777776,0.037500000000000006,0.0,0.7546296296296297,0.09999999999999999,1777431097.6307662,0.0,0.0,0.015250544662309367,,
7,0.0,0.0,0.5638297872340425,0.7843137254901961,0.0,0.0,0.0196078431372549,0.09090909090909091,0.0,7,1.0,0.9411764705882353,0.01568627450980392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.6938775510204082,0.5811688311688312,0.276787061,0.0,0.0,0.0,0.0196078431372549,0.8745174810736673,0.0,0.9772727272727273,0.0,0.25,0.07323244771060462,0.8936170212765957,8.0,NaN,0.7058823529411765,0.03125,0.5349382472381459,0.0,NaN,0.25,0.2,0.4,1.0,0.0,0.05,0.0,0.0,0.0,0.16666666666666666,0.03125,0.3673469387755102,0.0,0.0,0.020833333333333332,0.025,0.0,0.7623456790123457,0.0,1777431101.2370973,0.0,0.0,0.0130718954248366,,
8,0.0,0.0,0.5319148936170213,0.8235294117647058,0.0,0.0,0.0196078431372549,0.09090909090909091,0.0,8,1.0,0.9019607843137255,0.014260249554367202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.673469387755102,0.5714285714285714,0.276787061,0.0,0.0,0.0,0.0196078431372549,0.8742088469817327,0.0,0.9772727272727273,0.0,0.25,0.06521813134447886,0.8723404255319149,9.0,NaN,0.7450980392156863,0.03125,0.5181858143357637,0.0,NaN,0.25,0.18181818181818182,0.38636363636363635,1.0,0.0,0.05,0.0,0.0,0.0,0.14285714285714285,0.03125,0.326530612244898,0.0,0.0,0.017857142857142856,0.022727272727272728,0.0,0.7746913580246914,0.0,1777431104.9679785,0.0,0.0,0.011204481792717087,,
9,0.0,0.0,0.5053191489361702,0.8627450980392157,0.0,0.0,0.0196078431372549,0.09090909090909091,0.0,9,1.0,0.9215686274509803,0.0130718954248366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,0.5306122448979592,0.5844155844155844,0.276787061,0.0,0.0,0.0,0.0196078431372549,0.8732999727937597,0.0,0.9772727272727273,0.0,0.25,0.06869738312581411,0.851063829787234,10.0,NaN,0.8431372549019608,0.03125,0.5094706874798061,0.0,NaN,0.25,0.16666666666666666,0.3931818181818182,1.0,0.0,0.05,0.0,0.0,0.0,0.125,0.03125,0.29591836734693877,0.0,0.0,0.015625,0.020833333333333332,0.0,0.7685185185185185,0.0,1777431108.6919675,0.0,0.0,0.00980392156862745,,
