,val/sensitivity_SCC,val/precision_AK,val/auc_BKL,val/specificity_VASC,val/precision_SCC,val/recall_NV,val/acc,val/recall_DF,_step,val/specificity_NV,val/specificity_DF,val/f1_weighted,val/precision_BCC,val/recall_AK,val/f1_AK,val/sensitivity_MEL,val/sensitivity_NV,val/recall_BCC,val/sensitivity_DF,val/auc_VASC,val/specificity_SCC,val/auc_BCC,_runtime,val/f1_NV,val/recall_VASC,val/recall_SCC,val/recall_weighted,val/specificity_macro,val/sensitivity_AK,val/specificity_BCC,val/sensitivity_VASC,val/sensitivity_BKL,train/loss,val/specificity_BKL,epoch,val/auc_DF,val/specificity_AK,val/sensitivity_macro,val/auc_macro,val/precision_VASC,val/auc_AK,val/recall_BKL,val/f1_BKL,val/auc_MEL,val/specificity_MEL,val/sensitivity_BCC,val/bacc,val/precision_NV,val/precision_DF,val/f1_BCC,val/precision_BKL,val/recall_macro,val/auc_SCC,val/f1_DF,val/f1_MEL,val/sensitivity_mel_95spec,val/precision_macro,val/f1_macro,val/recall_MEL,val/auc_NV,val/f1_SCC,_timestamp,val/f1_VASC,val/precision_MEL,val/precision_weighted,confusion_matrix/final,confusion_matrix/best
0,0.0,0.0,0.4787234042553192,0.9803921568627451,0.0,0.3333333333333333,0.21568627450980393,0.0,0,0.8333333333333334,0.8235294117647058,0.27006920415224916,0.1,0.0,0.0,0.0,0.3333333333333333,0.14285714285714285,0.0,NaN,0.9183673469387755,0.474025974025974,1.5186813510000001,0.45,0.0,0.0,0.21568627450980393,0.8846308446008964,0.0,0.7954545454545454,0.0,0.25,2.095941799027579,0.8936170212765957,1.0,NaN,0.8823529411764706,0.09077380952380952,0.41835307774517505,0.0,NaN,0.25,0.2,0.22272727272727272,0.95,0.14285714285714285,0.14523809523809522,0.6923076923076923,0.0,0.11764705882352941,0.16666666666666666,0.09077380952380952,0.29591836734693877,0.0,0.0,0.0,0.11987179487179486,0.09595588235294117,0.0,0.6203703703703703,0.0,1777589034.692301,0.0,0.0,0.3933132227249875,,
1,0.0,0.0,0.38829787234042556,0.9803921568627451,0.0,0.3333333333333333,0.2549019607843137,0.0,1,0.7083333333333334,0.9215686274509803,0.29718789089514125,0.18181818181818182,0.0,0.0,0.09090909090909091,0.3333333333333333,0.2857142857142857,0.0,NaN,0.9387755102040817,0.512987012987013,1.5186813510000001,0.4186046511627907,0.0,0.0,0.2549019607843137,0.8811521925017589,0.0,0.7954545454545454,0.0,0.25,2.0944983107703075,0.8723404255319149,2.0,NaN,0.8823529411764706,0.11999458874458874,0.40339882639781327,0.0,NaN,0.25,0.18181818181818182,0.25,0.95,0.2857142857142857,0.191991341991342,0.5625,0.0,0.2222222222222222,0.14285714285714285,0.11999458874458874,0.3163265306122449,0.0,0.14285714285714288,0.09090909090909091,0.15256358225108224,0.1206877747575422,0.09090909090909091,0.5493827160493827,0.0,1777589038.3899407,0.0,0.3333333333333333,0.40584946099651986,,
2,0.0,0.0,0.43617021276595747,0.9607843137254902,0.0,0.2962962962962963,0.21568627450980393,0.0,2,0.75,0.9411764705882353,0.26226863134097145,0.08333333333333333,0.0,0.0,0.09090909090909091,0.2962962962962963,0.14285714285714285,0.0,NaN,0.9591836734693877,0.44805194805194803,1.5186813510000001,0.3902439024390244,0.0,0.0,0.21568627450980393,0.8769797280614373,0.0,0.75,0.0,0.25,2.046111668859209,0.8723404255319149,3.0,NaN,0.8823529411764706,0.09750781625781627,0.4376184993662197,0.0,NaN,0.25,0.18181818181818182,0.3818181818181818,0.9,0.14285714285714285,0.15601250601250602,0.5714285714285714,0.0,0.10526315789473685,0.14285714285714285,0.09750781625781627,0.40816326530612246,0.0,0.12500000000000003,0.09090909090909091,0.12470238095238095,0.10029065526899289,0.09090909090909091,0.5138888888888888,0.0,1777589041.8678827,0.0,0.2,0.3683006535947712,,
3,0.0,0.0,0.46808510638297873,0.9607843137254902,0.0,0.3333333333333333,0.23529411764705882,0.0,3,0.7083333333333334,0.9607843137254902,0.2790805309921157,0.08333333333333333,0.0,0.0,0.09090909090909091,0.3333333333333333,0.14285714285714285,0.0,NaN,0.9387755102040817,0.46428571428571425,1.5186813510000001,0.4186046511627907,0.0,0.0,0.23529411764705882,0.8772473351042545,0.0,0.75,0.0,0.25,2.0502751554761613,0.8723404255319149,4.0,NaN,0.9019607843137255,0.10213744588744589,0.46962403014074744,0.0,NaN,0.25,0.18181818181818182,0.47045454545454546,0.925,0.14285714285714285,0.1634199134199134,0.5625,0.0,0.10526315789473685,0.14285714285714285,0.10213744588744589,0.4591836734693877,0.0,0.13333333333333333,0.09090909090909091,0.12983630952380953,0.10487741552613034,0.09090909090909091,0.4861111111111111,0.0,1777589045.3249912,0.0,0.25,0.3743580765639589,,
4,0.0,0.0,0.4946808510638298,0.9607843137254902,0.0,0.37037037037037035,0.2549019607843137,0.0,4,0.6666666666666666,0.9607843137254902,0.2914744329104191,0.1,0.0,0.0,0.09090909090909091,0.37037037037037035,0.14285714285714285,0.0,NaN,0.9387755102040817,0.43506493506493504,1.5186813510000001,0.4444444444444445,0.0,0.0,0.2549019607843137,0.8768382062689679,0.0,0.7954545454545454,0.0,0.25,2.0114204713276456,0.851063829787234,5.0,NaN,0.9411764705882353,0.10676707551707551,0.4752231900712144,0.0,NaN,0.25,0.16666666666666666,0.5159090909090909,0.9,0.14285714285714285,0.17082732082732083,0.5555555555555556,0.0,0.11764705882352941,0.125,0.10676707551707551,0.4489795918367347,0.0,0.12500000000000003,0.09090909090909091,0.12256944444444444,0.10671977124183006,0.09090909090909091,0.4814814814814815,0.0,1777589048.7708247,0.0,0.2,0.3607843137254902,,
5,0.0,0.0,0.5372340425531914,0.9607843137254902,0.0,0.37037037037037035,0.27450980392156865,0.0,5,0.75,0.9803921568627451,0.32378512736603987,0.07692307692307693,0.0,0.0,0.18181818181818182,0.37037037037037035,0.14285714285714285,0.0,NaN,0.9591836734693877,0.44480519480519476,1.5186813510000001,0.4651162790697674,0.0,0.0,0.27450980392156865,0.8837341464632275,0.0,0.7272727272727273,0.0,0.25,2.007162570953369,0.851063829787234,6.0,NaN,0.9411764705882353,0.11813071188071186,0.49735232627329884,0.0,NaN,0.25,0.16666666666666666,0.5409090909090908,0.9,0.14285714285714285,0.189009139009139,0.625,0.0,0.1,0.125,0.11813071188071186,0.4591836734693877,0.0,0.23529411764705885,0.0,0.14503205128205127,0.12088463292293661,0.18181818181818182,0.5046296296296297,0.0,1777589052.1353683,0.0,0.3333333333333333,0.4231397687280041,,
6,0.0,0.0,0.5,0.9607843137254902,0.0,0.4444444444444444,0.3333333333333333,0.0,6,0.7916666666666666,1.0,0.38798238798238804,0.09090909090909091,0.0,0.0,0.2727272727272727,0.4444444444444444,0.14285714285714285,0.0,NaN,0.9591836734693877,0.4383116883116883,1.5186813510000001,0.5454545454545455,0.0,0.0,0.3333333333333333,0.8944157039024507,0.0,0.7727272727272727,0.0,0.25,1.9932406800133842,0.8297872340425532,7.0,NaN,0.9411764705882353,0.1387536075036075,0.49512391488581964,0.0,NaN,0.25,0.15384615384615383,0.55,0.9,0.14285714285714285,0.22200577200577198,0.7058823529411765,0.0,0.1111111111111111,0.1111111111111111,0.15857555143269428,0.47959183673469385,0.0,0.33333333333333326,0.18181818181818182,0.190924854790401,0.1633921633921634,0.2727272727272727,0.507716049382716,0.0,1777589055.5798848,0.0,0.42857142857142855,0.48733171224520705,,
7,0.0,0.0,0.5425531914893618,0.9607843137254902,0.0,0.37037037037037035,0.27450980392156865,0.0,7,0.7916666666666666,0.9607843137254902,0.3273480332303862,0.09090909090909091,0.0,0.0,0.18181818181818182,0.37037037037037035,0.14285714285714285,0.0,NaN,0.9387755102040817,0.47077922077922074,1.5186813510000001,0.47619047619047616,0.0,0.0,0.27450980392156865,0.8862887031021305,0.0,0.7727272727272727,0.0,0.25,1.9457795109067644,0.8297872340425532,8.0,NaN,0.9607843137254902,0.11813071188071186,0.5106237192204771,0.0,NaN,0.25,0.15384615384615383,0.5318181818181819,0.875,0.14285714285714285,0.189009139009139,0.6666666666666666,0.0,0.1111111111111111,0.1111111111111111,0.11813071188071186,0.4693877551020408,0.0,0.2222222222222222,0.18181818181818182,0.1443001443001443,0.12042124542124542,0.18181818181818182,0.5385802469135802,0.0,1777589059.1987584,0.0,0.2857142857142857,0.43575814164049453,,
8,0.0,0.0,0.5425531914893618,0.9607843137254902,0.0,0.37037037037037035,0.29411764705882354,0.0,8,0.8333333333333334,1.0,0.35201346263794353,0.08333333333333333,0.0,0.0,0.2727272727272727,0.37037037037037035,0.14285714285714285,0.0,NaN,0.9387755102040817,0.49999999999999994,1.5186813510000001,0.4878048780487805,0.0,0.0,0.29411764705882354,0.8908985136607834,0.0,0.75,0.0,0.25,1.9882879938398088,0.8085106382978723,9.0,NaN,0.9607843137254902,0.12949434824434825,0.5166474485775397,0.0,NaN,0.25,0.14285714285714288,0.525,0.875,0.14285714285714285,0.2071909571909572,0.7142857142857143,0.0,0.10526315789473685,0.1,0.1479935408506837,0.4693877551020408,0.0,0.3157894736842105,0.18181818181818182,0.1818027210884354,0.1502449503549815,0.2727272727272727,0.5462962962962963,0.0,1777589062.5720606,0.0,0.375,0.47831465919701205,,
9,0.0,0.0,0.5159574468085106,0.9607843137254902,0.0,0.3333333333333333,0.27450980392156865,0.0,9,0.875,0.9803921568627451,0.33475783475783477,0.09090909090909091,0.0,0.0,0.2727272727272727,0.3333333333333333,0.14285714285714285,0.0,NaN,0.9387755102040817,0.5,1.5186813510000001,0.46153846153846156,0.0,0.0,0.27450980392156865,0.8907122012247839,0.0,0.7727272727272727,0.0,0.25,1.939489688192095,0.7872340425531915,10.0,NaN,0.9607843137254902,0.1248647186147186,0.5069809714845176,0.0,NaN,0.25,0.13333333333333333,0.5363636363636364,0.85,0.14285714285714285,0.19978354978354976,0.75,0.0,0.1111111111111111,0.09090909090909091,0.1248647186147186,0.42857142857142855,0.0,0.3,0.18181818181818182,0.15814393939393936,0.12574786324786325,0.2727272727272727,0.5540123456790124,0.0,1777589065.9519546,0.0,0.3333333333333333,0.488562091503268,,
